Longitude,Latitude,Zone
79.484722,30.084444,risk
79.492223,30.084635,risk
79.492389,30.07525,risk
79.49987,30.046306,risk
79.502189,30.102227,risk
79.504461,30.102998,risk
79.505302,30.0787,risk
79.505631,30.105911,risk
79.508972,30.070978,risk
79.518612,30.027674,risk
79.518222,30.065361,risk
79.521037,30.059867,risk
79.521111,30.066667,risk
79.521306,30.067528,risk
79.521704,30.061404,risk
79.521881,30.077001,risk
79.522167,30.061306,risk
79.522481,30.058696,risk
79.52309,30.028163,risk
79.522619,30.061038,risk
79.26164,30.028465,risk
79.264309,30.030104,risk
79.265359,29.977449,risk
79.26468,30.060085,risk
79.265047,30.060492,risk
79.26574,30.061041,risk
79.275028,30.118833,risk
79.308226,30.014433,risk
79.309722,30.016,risk
79.377246,30.080302,risk
79.38662,30.0945,risk
79.387896,30.101563,risk
79.405289,29.986058,risk
79.412888,29.977037,risk
79.426897,30.117166,risk
79.427598,30.113775,risk
79.42825,30.113583,risk
79.430294,30.11386,risk
79.430961,30.099665,risk
79.431506,30.101363,risk
79.432306,30.099111,risk
79.432157,30.108974,risk
79.434624,30.106958,risk
79.435956,30.099317,risk
79.6114,30.045488,risk
79.612714,30.083264,risk
79.612894,30.081173,risk
79.613056,30.086306,risk
79.613389,30.087444,risk
79.614434,30.045583,risk
79.614742,30.089003,risk
79.614833,30.089639,risk
79.617106,30.091425,risk
79.617806,30.042833,risk
79.618195,30.042785,risk
79.620671,30.093752,risk
79.621664,30.09395,risk
79.624056,30.094139,risk
79.629971,30.093214,risk
79.634834,30.093629,risk
79.6405,30.093111,risk
79.64155,30.036059,risk
79.643083,30.092944,risk
79.65025,30.093,risk
79.65191,30.032952,risk
79.653889,30.031639,risk
79.654223,30.032121,risk
79.653583,30.092139,risk
79.658516,30.094888,risk
79.658889,30.094972,risk
79.660665,30.093719,risk
79.664722,30.0215,risk
79.666443,30.094269,risk
79.670359,30.023544,risk
79.677064,30.021831,risk
79.68238,30.022759,risk
79.692459,30.024354,risk
79.697376,30.02253,risk
79.697906,30.022722,risk
79.700172,30.023392,risk
79.706111,30.022361,risk
79.707188,30.020882,risk
79.742049,30.030254,risk
79.564146,30.024639,risk
79.556669,30.025714,risk
79.55683,30.026494,risk
79.556636,30.02823,risk
79.556635,30.029199,risk
79.567306,30.03125,risk
79.567873,30.031662,risk
79.56956,30.033171,risk
79.569917,30.033917,risk
79.564306,30.037583,risk
79.609917,30.041083,risk
79.550468,30.040847,risk
79.90513944,30.59628828,safe
79.53204651,30.29420868,safe
79.43361558,30.85449187,safe
